Tempo;Corrente;Velocidade;Degrau
0.0;27.48;72.35;0
0.001;27.47;72.35;0
0.002;27.47;72.29;0
0.003;27.48;72.24;0
0.004;27.51;72.18;0
0.005;27.51;72.12;0
0.006;27.51;72.07;0
0.007;27.5;72.01;0
0.008;27.47;71.96;0
0.009000000000000001;27.47;71.9;0
0.01;27.47;71.9;0
0.011;27.49;71.9;0
0.012;27.5;71.9;0
0.013000000000000001;27.52;71.9;0
0.014;27.51;71.9;0
0.015;27.48;71.9;0
0.016;27.44;71.9;0
0.017;27.43;71.9;0
0.018000000000000002;27.44;71.9;0
0.019;27.46;71.9;0
0.02;27.47;71.9;0
0.021;27.47;71.9;0
0.022;27.44;71.9;0
0.023;27.42;71.9;0
0.024;27.42;71.9;0
0.025;27.43;71.9;0
0.026000000000000002;27.43;71.9;0
0.027;27.43;71.9;0
0.028;27.43;71.9;0
0.029;27.43;71.9;0
0.03;27.45;71.9;0
0.031;27.46;71.9;0
0.032;27.47;71.9;0
0.033;27.48;71.86;0
0.034;27.49;71.81;0
0.035;27.49;71.76;0
0.036000000000000004;27.48;71.72;0
0.037;27.48;71.67;0
0.038;27.46;71.62;0
0.039;27.47;71.58;0
0.04;27.48;71.53;0
0.041;27.5;71.48;0
0.042;27.5;71.48;0
0.043000000000000003;27.51;71.48;0
0.044;27.49;71.48;0
0.045;27.47;71.48;0
0.046;27.46;71.48;0
0.047;27.47;71.48;0
0.048;27.48;71.48;0
0.049;27.49;71.48;0
0.05;27.51;71.48;0
0.051000000000000004;27.53;71.48;0
0.052000000000000005;27.53;71.48;0
0.053;27.53;71.48;0
0.054;27.54;71.48;0
0.055;27.53;71.48;0
0.056;27.54;71.48;0
0.057;27.54;71.48;0
0.058;27.56;71.48;0
0.059000000000000004;27.6;71.48;0
0.06;27.63;71.48;0
0.061;27.61;71.48;0
0.062;27.61;71.48;0
0.063;27.61;71.48;0
0.064;27.6;71.48;0
0.065;27.6;71.48;0
0.066;27.6;71.48;0
0.067;27.59;71.48;0
0.068;27.6;71.43;0
0.069;27.59;71.37;0
0.07;27.55;71.32;0
0.07100000000000001;27.56;71.26;0
0.07200000000000001;27.56;71.2;0
0.073;27.57;71.15;0
0.074;27.55;71.09;0
0.075;27.54;71.04;0
0.076;27.53;70.98;0
0.077;27.53;70.98;0
0.078;27.54;70.98;0
0.079;27.56;70.98;0
0.08;27.58;70.98;0
0.081;27.56;70.98;0
0.082;27.55;70.98;0
0.083;27.54;70.98;0
0.084;27.54;70.98;0
0.085;27.54;70.98;0
0.08600000000000001;27.54;70.98;0
0.08700000000000001;27.54;70.98;0
0.088;27.58;70.98;0
0.089;27.57;70.98;0
0.09;27.57;70.98;0
0.091;27.55;70.98;0
0.092;27.55;70.98;0
0.093;27.54;70.98;0
0.094;27.54;70.98;0
0.095;27.55;70.98;0
0.096;27.58;70.98;0
0.097;27.61;70.98;0
0.098;27.63;70.98;0
0.099;27.64;70.98;0
0.1;27.64;70.98;0
0.101;27.64;70.98;0
0.10200000000000001;27.64;70.98;0
