;Tempo;Corrente;Velocidade;Degrau
0;0.0;27.36;79.97;0.6
1;0.001;27.38;79.97;0.6
2;0.002;27.45;79.97;0.6
3;0.003;27.48;79.97;0.6
4;0.004;27.48;79.97;0.6
5;0.005;27.42;79.97;0.6
6;0.006;27.38;79.97;0.6
7;0.007;27.35;79.97;0.6
8;0.008;27.35;79.97;0.6
9;0.009;27.38;79.97;0.6
10;0.01;27.43;79.97;0.6
11;0.011;27.48;79.97;0.6
12;0.012;27.48;79.97;0.6
13;0.013;27.42;79.97;0.6
14;0.014;27.37;79.97;0.6
15;0.015;27.34;79.97;0.6
16;0.016;27.36;79.97;0.6
17;0.017;27.4;79.97;0.6
18;0.018;27.44;79.97;0.6
19;0.019;27.46;79.97;0.6
20;0.02;27.44;79.97;0.6
21;0.021;27.38;79.97;0.6
22;0.022;27.32;79.97;0.6
23;0.023;27.33;79.97;0.6
24;0.024;27.38;79.97;0.6
25;0.025;27.44;79.97;0.6
26;0.026;27.49;79.97;0.6
27;0.027;27.49;79.97;0.6
28;0.028;27.45;79.97;0.6
29;0.029;27.4;80.04;0.6
30;0.03;27.34;80.04;0.6
31;0.031;27.34;80.04;0.6
32;0.032;27.39;80.04;0.6
33;0.033;27.45;80.04;0.6
34;0.034;27.49;80.04;0.6
35;0.035;27.47;80.04;0.6
36;0.036;27.43;80.04;0.6
37;0.037;27.38;80.04;0.6
38;0.038;27.33;80.04;0.6
39;0.039;27.35;80.04;0.6
40;0.04;27.39;80.04;0.6
41;0.041;27.45;80.04;0.6
42;0.042;27.49;80.04;0.6
43;0.043;27.48;80.04;0.6
44;0.044;27.43;80.04;0.6
45;0.045;27.4;80.04;0.6
46;0.046;27.37;80.04;0.6
47;0.047;27.36;80.04;0.6
48;0.048;27.39;80.04;0.6
49;0.049;27.46;80.04;0.6
50;0.05;27.48;80.04;0.6
51;0.051;27.45;80.04;0.6
52;0.052;27.39;80.04;0.6
53;0.053;27.35;80.04;0.6
54;0.054;27.33;80.04;0.6
55;0.055;27.36;80.04;0.6
56;0.056;27.38;80.04;0.6
57;0.057;27.45;80.04;0.6
58;0.058;27.47;80.04;0.6
59;0.059;27.44;80.04;0.6
60;0.06;27.39;79.97;0.6
61;0.061;27.36;79.9;0.6
62;0.062;27.36;79.84;0.6
63;0.063;27.39;79.77;0.6
64;0.064;27.43;79.7;0.6
65;0.065;27.46;79.63;0.6
66;0.066;27.5;79.56;0.6
67;0.067;27.45;79.56;0.6
68;0.068;27.39;79.56;0.6
69;0.069;27.35;79.56;0.6
70;0.07;27.36;79.56;0.6
71;0.071;27.4;79.56;0.6
72;0.072;27.44;79.56;0.6
73;0.073;27.46;79.56;0.6
74;0.074;27.47;79.56;0.6
75;0.075;27.41;79.63;0.6
76;0.076;27.35;79.7;0.6
77;0.077;27.31;79.77;0.6
78;0.078;27.3;79.84;0.6
79;0.079;27.36;79.9;0.6
80;0.08;27.41;79.97;0.6
81;0.081;27.41;80.04;0.6
82;0.082;27.4;80.11;0.6
83;0.083;27.36;80.11;0.6
84;0.084;27.3;80.11;0.6
